prt1,prt2,momid,partner,infid,samples,nextdad,realdad,momgrp,doc_infant,dob_infant,group,score_preg,DSI,dyad,PHG,dyad_index,prt1_index,prt2_index
ux,yr,ux,yr,yo,48,0,0,ENK,4/3/2015,9/28/2015,ENK,0.70365288,0.044626333,ux_yr,0,150,33,37
ux,yy,ux,yy,yo,48,0,0,ENK,4/3/2015,9/28/2015,ENK,0.006512653,0.189745594,ux_yy,0,151,33,38
bt,yp,yp,bt,yq,45,0,0,PHG,8/23/2015,2/17/2016,PHG,0.73586984,0.542286981,yp_bt,1,152,2,36
yp,jy,yp,jy,yq,45,0,0,PHG,8/23/2015,2/17/2016,PHG,1,0.337439005,yp_jy,1,153,36,10
yp,oe,yp,oe,yq,45,0,0,PHG,8/23/2015,2/17/2016,PHG,0.869545558,0.707114672,yp_oe,1,154,36,13
yp,oz,yp,oz,yq,45,0,1,PHG,8/23/2015,2/17/2016,PHG,0.761927324,4.274742537,yp_oz,1,155,36,15
yp,ph,yp,ph,yq,45,0,0,PHG,8/23/2015,2/17/2016,PHG,0.268630182,0.466746507,yp_ph,1,156,36,16
yp,pz,yp,pz,yq,45,0,0,PHG,8/23/2015,2/17/2016,PHG,0.66182863,0,yp_pz,1,157,36,17
yp,sn,yp,sn,yq,45,0,0,PHG,8/23/2015,2/17/2016,PHG,0.521462085,0.049935379,yp_sn,1,158,36,22
qp,tp,qp,tp,qr,20,1,1,ENK,8/17/2013,2/11/2014,ENK,0.731034017,1.423111354,qp_tp,0,74,20,23
ua,yr,ua,yr,av,45,1,1,ENK,9/1/2014,2/26/2015,ENK,0.668655804,3.538857922,ua_yr,0,95,26,37
